RAJ2000,DEJ2000,Flux1000
12.506,-57.6182,3.2937345E-10
12.6066,-4.8768,1.0742282E-09
12.6753,-9.4896,3.7863477E-09
12.7813,-6.811,9.068909E-10
12.8286,-62.7008,1.4582634E-09
12.916,-42.4068,1.570034E-10
13.0356,64.7451,6.4800976E-10
13.2634,-66.7282,1.1131194E-10
13.576,86.439,1.7856029E-10
13.6992,-24.9296,7.991813E-10
13.7203,-19.9292,1.3197902E-10
13.792,-12.311,4.528988E-10
13.9374,45.1227,8.191411E-11
14.0877,-9.5971,6.822798E-10
14.0916,-39.6162,1.09759306E-10
14.1255,-21.3015,7.2783135E-10
14.1754,-53.3022,1.9616349E-10
14.1999,16.4895,2.0237872E-10
14.2036,-44.9518,1.2204787E-10
14.4454,30.3772,3.0767525E-10
14.4866,63.4374,2.216578E-10
14.5,-72.75,3.4516192E-09
14.5132,-32.5608,1.4592788E-09
14.5154,-5.6611,4.4924053E-10
14.5583,-46.074,9.868379E-11
14.6225,33.2481,2.656079E-10
14.6323,-11.6916,1.1626218E-10
14.8122,0.1399,1.8953669E-10
14.8372,-1.8699,1.8931781E-10
14.865,-56.9219,3.9932674E-10
14.882,-35.2144,1.6680193E-10
15.0928,7.7639,1.6676662E-09
15.2566,-0.9886,1.4972422E-10
15.3019,-64.372,2.0848216E-09
15.4315,-54.9275,6.215723E-11
15.5041,-62.6671,1.2191644E-10
15.5324,58.7865,3.873956E-10
15.5389,16.6534,1.6026748E-10
15.5829,42.2632,3.9963455E-10
15.592,10.0249,2.1003113E-10
15.5943,-56.7324,2.1346658E-10
15.612,9.7183,2.3367286E-10
15.624,45.0102,1.4986153E-10
15.6957,-20.0264,7.153047E-11
15.6982,58.4091,5.2950435E-09
15.7133,48.657,2.2219337E-09
15.7566,-70.8865,1.3983714E-10
15.7675,49.9319,1.719719E-10
15.882,53.6283,6.3037364E-10
15.8835,15.4212,1.9415818E-10
15.9757,13.3539,3.1833894E-10
16.134,-8.3481,1.4989002E-10
16.218,-24.2644,3.8919065E-10
16.2966,39.4919,5.1981347E-10
16.6158,48.9241,3.3977967E-09
16.6185,59.6364,2.543239E-10
16.7064,-48.5431,1.1263813E-10
16.782,3.6219,1.2427696E-10
16.8142,-12.1675,2.1222384E-10
17.0188,-0.6443,1.8454302E-10
17.1648,1.5882,1.0151498E-08
17.2966,18.2682,6.495786E-10
17.3253,24.0131,1.7777604E-10
17.4643,61.5635,2.8565021E-09
17.5068,-40.3361,1.9268415E-10
17.5434,68.0983,2.0842743E-09
17.697,-12.9065,2.0345742E-10
17.7141,43.7538,1.4810433E-10
17.8231,-6.3886,2.2192939E-10
