,energy,time,x,y,z
0,862023.1854193296,410709.6109251508,599.5436588604182,326.62786481499364,182.9852878876142
1,208628.8843634767,410717.9500275308,597.8901560880944,325.07003614319825,181.94168910873148
2,4493.419429759726,410726.28912991076,596.2366533157706,323.51220747140286,180.89809032984877
3,3.1847739734923506e-23,410734.62823229074,594.5831505434468,321.95437879960747,179.8544915509661
4,1.6495608711670235e-25,410742.9673346707,592.929647771123,320.3965501278121,178.81089277208338
5,2.896489866772181e-41,410751.3064370507,591.276144998799,318.83872145601663,177.76729399320067
6,0.0,410759.64553943067,589.6226422264753,317.28089278422124,176.72369521431796
7,0.0,410767.98464181065,587.9691394541514,315.72306411242585,175.68009643543525
8,0.0,410776.3237441906,586.3156366818276,314.16523544063045,174.63649765655254
9,0.0,410784.6628465706,584.6621339095038,312.60740676883506,173.59289887766985
10,0.0,410793.0019489506,583.00863113718,311.04957809703967,172.54930009878714
11,0.0,410801.34105133056,581.3551283648562,309.4917494252443,171.50570131990443
12,0.0,410809.68015371053,579.7016255925324,307.9339207534489,170.46210254102175
13,0.0,410818.0192560905,578.0481228202086,306.3760920816535,169.41850376213904
14,0.0,410826.3583584705,576.3946200478848,304.8182634098581,168.37490498325633
15,0.0,410834.69746085047,574.7411172755609,303.2604347380627,167.33130620437362
16,0.0,410843.03656323045,573.0876145032371,301.7026060662673,166.2877074254909
17,0.0,410851.3756656104,571.4341117309133,300.14477739447193,165.24410864660823
18,0.0,410859.7147679904,569.7806089585895,298.58694872267654,164.20050986772551
19,0.0,410868.0538703704,568.1271061862657,297.02912005088115,163.1569110888428
20,0.0,410876.39297275036,566.4736034139419,295.4712913790857,162.1133123099601
21,0.0,410884.73207513033,564.8201006416181,293.9134627072903,161.0697135310774
22,0.0,410893.0711775103,563.1665978692943,292.3556340354949,160.0261147521947
23,2.896489866772181e-41,410901.4102798903,561.5130950969703,290.7978053636995,158.982515973312
24,6.1791783824471804e-40,410909.74938227027,559.8595923246465,289.23997669190413,157.93891719442928
25,3.0895891912235484e-39,410918.08848465024,558.2060895523227,287.68214802010874,156.89531841554657
26,3.741817897072355e-16,410926.4275870302,556.5525867799989,286.12431934831335,155.8517196366639
27,7.949913182058035e-16,410934.7666894102,554.8990840076751,284.56649067651796,154.80812085778118
28,2.0273437056150973e-16,410943.1057917902,553.2455812353513,283.00866200472257,153.76452207889847
29,10975.957233743453,410951.44489417016,551.5920784630275,281.4508333329272,152.72092330001578
30,21305.104265136968,410959.78399655013,549.9385756907037,279.8930046611318,151.67732452113307
31,23342.710997753507,410968.1230989301,548.2850729183799,278.3351759893364,150.63372574225036
32,16115.960501374186,410976.4622013101,546.631570146056,276.77734731754094,149.59012696336765
33,9952.103982622179,410984.80130369007,544.9780673737322,275.21951864574555,148.54652818448494
34,5718.8477897418115,410993.14040607004,543.3245646014084,273.66168997395016,147.50292940560226
35,12962.738711591102,411001.47950845,541.6710618290846,272.10386130215477,146.45933062671955
36,28047.307745259237,411009.81861083,540.0175590567608,270.5460326303594,145.41573184783684
37,29288.161078139787,411018.15771321,538.364056284437,268.988203958564,144.37213306895413
38,21813.258380157426,411026.49681558996,536.7105535121132,267.4303752867686,143.32853429007145
39,19672.913726734467,411034.83591796993,535.0570507397894,265.8725466149732,142.28493551118873
40,7969.842523853515,411043.1750203499,533.4035479674656,264.3147179431778,141.24133673230602
41,3809.993375713101,411051.5141227299,531.7500451951416,262.7568892713824,140.1977379534233
42,15321.507425558208,411059.85322510987,530.0965424228178,261.199060599587,139.1541391745406
43,56235.43556056165,411068.19232748984,528.443039650494,259.64123192779164,138.11054039565792
44,82874.98742963442,411076.5314298698,526.7895368781702,258.08340325599625,137.0669416167752
45,54800.47488534626,411084.8705322498,525.1360341058464,256.5255745842008,136.0233428378925
46,17861.162488393034,411093.2096346298,523.4825313335226,254.96774591240543,134.9797440590098
47,5115.148842217154,411101.54873700975,521.8290285611988,253.40991724061004,133.9361452801271
48,1858.6993845705865,411109.88783938973,520.175525788875,251.85208856881462,132.8925465012444
49,1907.9816072771202,411118.2269417697,518.5220230165512,250.29425989701923,131.8489477223617
50,2634.863565720474,411126.5660441497,516.8685202442273,248.73643122522384,130.80534894347898
51,3364.03566321969,411134.90514652967,515.2150174719035,247.17860255342845,129.7617501645963
52,4250.657433467082,411143.24424890964,513.5615146995797,245.62077388163306,128.71815138571358
53,6549.738355892322,411151.5833512896,511.90801192725587,244.06294520983766,127.67455260683087
54,14158.73114105398,411159.9224536696,510.25450915493207,242.50511653804224,126.63095382794816
55,20268.858844226408,411168.2615560496,508.60100638260826,240.94728786624685,125.58735504906547
56,35040.997501831655,411176.60065842955,506.94750361028446,239.38945919445146,124.54375627018275
57,55071.779405530004,411184.93976080953,505.2940008379606,237.83163052265607,123.50015749130006
58,79519.41508896931,411193.2788631895,503.6404980656368,236.27380185086068,122.45655871241735
59,68224.91039592157,411201.6179655695,501.986995293313,234.7159731790653,121.41295993353465
60,37286.316388174244,411209.95706794946,500.3334925209892,233.15814450726987,120.36936115465194
61,15187.514787859262,411218.29617032944,498.6799897486653,231.60031583547448,119.32576237576924
62,2.330995720750072e-19,411226.6352727094,497.0264869763415,230.04248716367908,118.28216359688653
63,4.908309333498419e-20,411234.9743750894,495.3729842040177,228.4846584918837,117.23856481800382
64,3.885710931301491e-21,411243.3134774694,493.7194814316939,226.9268298200883,116.19496603912113
65,1.6493043556909355e-21,411251.65257984935,492.0659786593701,225.3690011482929,115.15136726023843
66,2.032201254414424e-20,411259.99168222933,490.41247588704624,223.81117247649752,114.10776848135572
67,1.6389237166109563e-19,411268.3307846093,488.75897311472244,222.25334380470213,113.06416970247301
68,2.932896058714341e-19,411276.6698869893,487.10547034239863,220.6955151329067,112.02057092359031
69,0.01438432901960951,411285.00898936926,485.4519675700748,219.13768646111131,110.9769721447076
70,2745.2923558820703,411293.34809174924,483.79846479775097,217.57985778931592,109.9333733658249
71,10126.523062540515,411301.6871941292,482.14496202542716,216.02202911752053,108.8897745869422
72,25766.519883591558,411310.0262965092,480.49145925310336,214.46420044572514,107.8461758080595
73,40270.73404833686,411318.3653988892,478.83795648077955,212.90637177392972,106.80257702917679
74,33674.23666024438,411326.70450126915,477.18445370845575,211.34854310213433,105.75897825029409
75,13071.249749053162,411335.04360364913,475.5309509361319,209.79071443033894,104.71537947141138
76,586.6570289743618,411343.3827060291,473.8774481638081,208.23288575854355,103.67178069252867
77,4.1178517250231485e-19,411351.7218084091,472.2239453914843,206.67505708674815,102.62818191364597
78,2.078318499619536e-05,411360.06091078906,470.5704426191605,205.11722841495276,101.58458313476328
79,2192.730661929872,411368.40001316904,468.9169398468366,203.55939974315737,100.54098435588057
80,14242.484946931121,411376.739115549,467.2634370745128,202.00157107136198,99.49738557699786
81,33341.94616412178,411385.078217929,465.609934302189,200.44374239956656,98.45378679811516
82,923.4494770565357,411393.417320309,463.9564315298652,198.88591372777117,97.41018801923246
83,3.705073747058628e-19,411401.75642268895,462.3029287575414,197.32808505597578,96.36658924034975
84,3873.159142616408,411410.09552506893,460.64942598521753,195.77025638418039,95.32299046146704
85,18999.470978376034,411418.4346274489,458.99592321289373,194.21242771238497,94.27939168258433
86,41965.67070883851,411426.7737298289,457.3424204405699,192.65459904058957,93.23579290370164
87,57572.77585776121,411435.11283220886,455.6889176682461,191.09677036879418,92.19219412481894
88,43838.327209888455,411443.45193458884,454.03541489592226,189.5389416969988,91.14859534593623
