,energy,time,x,y,z
0,0.0,9124.111909026264,-399.52209391063775,-600.7185671262039,-545.0303545130997
1,0.0,9132.451011406218,-399.28568605632995,-598.2427985628768,-544.776029234641
2,0.0,9140.790113786172,-399.0492782020221,-595.7670299995497,-544.5217039561823
3,0.0,9149.129216166126,-398.8128703477143,-593.2912614362226,-544.2673786777236
4,0.0,9157.46831854608,-398.5764624934065,-590.8154928728954,-544.0130533992649
5,0.0,9165.807420926034,-398.34005463909864,-588.3397243095683,-543.7587281208062
6,0.0,9174.146523305988,-398.10364678479084,-585.8639557462412,-543.5044028423474
7,0.0,9182.485625685942,-397.867238930483,-583.3881871829141,-543.2500775638887
8,0.0,9190.824728065896,-397.6308310761752,-580.9124186195869,-542.9957522854301
9,0.0,9199.16383044585,-397.3944232218673,-578.4366500562599,-542.7414270069713
10,0.0,9207.502932825804,-397.1580153675595,-575.9608814929327,-542.4871017285126
11,0.0,9215.842035205758,-396.92160751325173,-573.4851129296055,-542.2327764500538
12,0.0,9224.181137585712,-396.6851996589439,-571.0093443662785,-541.9784511715951
13,0.0,9232.520239965666,-396.4487918046361,-568.5335758029513,-541.7241258931364
14,0.0,9240.85934234562,-396.2123839503282,-566.0578072396243,-541.4698006146778
15,0.0,9249.198444725575,-395.9759760960204,-563.5820386762971,-541.215475336219
16,0.0,9257.537547105529,-395.73956824171256,-561.1062701129699,-540.9611500577603
17,0.0,9265.876649485483,-395.50316038740476,-558.6305015496429,-540.7068247793015
18,0.0,9274.215751865437,-395.2667525330969,-556.1547329863157,-540.4524995008428
19,0.0,9282.55485424539,-395.0303446787891,-553.6789644229887,-540.1981742223842
20,0.0,9290.893956625345,-394.7939368244813,-551.2031958596615,-539.9438489439254
21,0.0,9299.233059005299,-394.55752897017345,-548.7274272963343,-539.6895236654667
22,0.0,9307.572161385253,-394.32112111586565,-546.2516587330072,-539.435198387008
23,0.0,9315.911263765207,-394.0847132615578,-543.7758901696801,-539.1808731085492
24,0.0,9324.250366145161,-393.84830540725,-541.300121606353,-538.9265478300905
25,0.0,9332.589468525115,-393.6118975529422,-538.8243530430259,-538.6722225516319
26,0.0,9340.92857090507,-393.37548969863434,-536.3485844796987,-538.4178972731731
27,0.0,9349.267673285023,-393.13908184432654,-533.8728159163716,-538.1635719947144
28,0.0,9357.606775664977,-392.9026739900187,-531.3970473530445,-537.9092467162557
29,0.0,9365.945878044931,-392.6662661357109,-528.9212787897173,-537.6549214377969
30,0.0,9374.284980424885,-392.429858281403,-526.4455102263903,-537.4005961593383
31,19769.10302489456,9382.62408280484,-392.19345042709523,-523.9697416630631,-537.1462708808796
32,41533.53995134623,9390.963185184793,-391.95704257278743,-521.493973099736,-536.8919456024208
33,21799.576956369172,9399.302287564748,-391.7206347184796,-519.0182045364088,-536.6376203239621
34,14015.023798719692,9407.641389944702,-391.4842268641718,-516.5424359730818,-536.3832950455034
35,3225.904371562052,9415.980492324656,-391.2478190098639,-514.0666674097546,-536.1289697670446
36,3013.0746139452826,9424.31959470461,-391.0114111555561,-511.5908988464275,-535.874644488586
37,143.760899123806,9432.658697084564,-390.77500330124826,-509.11513028310037,-535.6203192101273
38,222.45701542256336,9440.997799464518,-390.53859544694046,-506.6393617197732,-535.3659939316685
39,726.3428385245016,9449.336901844472,-390.30218759263266,-504.16359315644615,-535.1116686532098
40,814.6946719233405,9457.676004224426,-390.0657797383248,-501.687824593119,-534.857343374751
41,512.0898180784989,9466.01510660438,-389.829371884017,-499.2120560297919,-534.6030180962924
42,606.8845900890778,9474.354208984334,-389.59296402970915,-496.7362874664648,-534.3486928178337
43,366.6633344596724,9482.693311364288,-389.35655617540135,-494.2605189031376,-534.094367539375
44,3542.773876309487,9491.032413744242,-389.1201483210935,-491.7847503398105,-533.8400422609162
45,1274.833563584651,9499.371516124196,-388.8837404667857,-489.3089817764834,-533.5857169824575
46,379.00297081287766,9507.71061850415,-388.6473326124779,-486.8332132131562,-533.3313917039987
47,53.77823887629182,9516.049720884104,-388.41092475817004,-484.3574446498291,-533.0770664255401
48,0.5430747379077558,9524.388823264058,-388.17451690386224,-481.881676086502,-532.8227411470814
49,0.0,9532.727925644012,-387.9381090495544,-479.4059075231749,-532.5684158686227
50,14.781968725283052,9541.067028023966,-387.7017011952466,-476.9301389598478,-532.3140905901639
51,877.564272210308,9549.40613040392,-387.46529334093873,-474.45437039652063,-532.0597653117052
52,363.71595999899654,9557.745232783875,-387.22888548663093,-471.9786018331935,-531.8054400332466
53,1909.7901077185647,9566.084335163829,-386.99247763232313,-469.5028332698664,-531.5511147547878
54,593.5445300799025,9574.423437543783,-386.7560697780153,-467.02706470653925,-531.2967894763291
55,52.4962880385174,9582.762539923737,-386.5196619237075,-464.55129614321214,-531.0424641978703
56,0.0,9591.10164230369,-386.2832540693996,-462.07552757988503,-530.7881389194116
57,0.0,9599.440744683645,-386.0468462150918,-459.59975901655787,-530.5338136409529
58,0.0,9607.779847063599,-385.81043836078396,-457.12399045323076,-530.2794883624942
59,0.0,9616.118949443553,-385.57403050647616,-454.64822188990365,-530.0251630840355
60,0.0,9624.458051823507,-385.33762265216836,-452.17245332657654,-529.7708378055768
61,0.0,9632.797154203461,-385.1012147978605,-449.69668476324944,-529.516512527118
62,0.0,9641.136256583415,-384.8648069435527,-447.22091619992227,-529.2621872486593
63,0.0,9649.47535896337,-384.62839908924485,-444.74514763659516,-529.0078619702007
64,0.0,9657.814461343323,-384.39199123493705,-442.26937907326806,-528.7535366917419
65,0.0,9666.153563723277,-384.1555833806292,-439.7936105099409,-528.4992114132832
66,0.0,9674.492666103231,-383.9191755263214,-437.3178419466138,-528.2448861348245
67,0.0,9682.831768483185,-383.6827676720136,-434.8420733832867,-527.9905608563657
68,0.0,9691.17087086314,-383.44635981770574,-432.36630481995957,-527.736235577907
69,0.0,9699.509973243094,-383.20995196339794,-429.8905362566324,-527.4819102994484
70,0.0,9707.849075623048,-382.9735441090901,-427.4147676933053,-527.2275850209896
71,0.0,9716.188178003002,-382.7371362547823,-424.9389991299782,-526.9732597425309
72,0.0,9724.527280382956,-382.50072840047443,-422.4632305666511,-526.7189344640722
73,0.0,9732.86638276291,-382.26432054616663,-419.9874620033239,-526.4646091856134
74,0.0,9741.205485142864,-382.0279126918588,-417.5116934399968,-526.2102839071548
75,0.0,9749.544587522818,-381.791504837551,-415.0359248766697,-525.9559586286961
76,0.0,9757.883689902772,-381.5550969832432,-412.56015631334253,-525.7016333502373
77,0.0,9766.222792282726,-381.3186891289353,-410.0843877500154,-525.4473080717786
78,0.0,9774.56189466268,-381.0822812746275,-407.6086191866883,-525.1929827933199
79,0.0,9782.900997042634,-380.84587342031966,-405.1328506233612,-524.9386575148611
80,0.0,9791.240099422588,-380.60946556601186,-402.65708206003404,-524.6843322364025
81,0.0,9799.579201802542,-380.37305771170406,-400.18131349670693,-524.4300069579438
82,0.0,9807.918304182496,-380.1366498573962,-397.7055449333798,-524.175681679485
83,0.0,9816.25740656245,-379.9002420030884,-395.2297763700527,-523.9213564010263
84,0.0,9824.596508942404,-379.66383414878055,-392.75400780672555,-523.6670311225676
85,0.0,9832.935611322358,-379.42742629447275,-390.27823924339845,-523.4127058441089
86,0.0,9841.274713702313,-379.1910184401649,-387.80247068007134,-523.1583805656502
87,0.0,9849.613816082267,-378.9546105858571,-385.32670211674423,-522.9040552871915
88,0.0,9857.95291846222,-378.71820273154924,-382.85093355341706,-522.6497300087327
89,0.0,9866.292020842175,-378.48179487724144,-380.37516499008996,-522.395404730274
90,0.0,9874.631123222129,-378.24538702293364,-377.89939642676285,-522.1410794518152
91,0.0,9882.970225602083,-378.0089791686258,-375.4236278634357,-521.8867541733566
92,0.0,9891.309327982037,-377.772571314318,-372.9478593001086,-521.6324288948979
93,0.0,9899.64843036199,-377.53616346001013,-370.47209073678147,-521.3781036164391
94,0.0,9907.987532741945,-377.29975560570233,-367.99632217345436,-521.1237783379804
95,0.0,9916.326635121899,-377.0633477513945,-365.5205536101272,-520.8694530595217
96,0.0,9924.665737501853,-376.8269398970867,-363.0447850468001,-520.615127781063
97,0.0,9933.004839881807,-376.5905320427789,-360.569016483473,-520.3608025026043
98,0.0,9941.343942261761,-376.354124188471,-358.09324792014587,-520.1064772241456
99,0.0,9949.683044641715,-376.1177163341632,-355.6174793568187,-519.8521519456868
100,0.0,9958.02214702167,-375.88130847985536,-353.1417107934916,-519.5978266672281
101,0.0,9966.361249401623,-375.64490062554756,-350.6659422301645,-519.3435013887694
102,271.1766505078504,9974.700351781577,-375.4084927712397,-348.1901736668374,-519.0891761103107
103,402.61972345914165,9983.039454161531,-375.1720849169319,-345.7144051035102,-518.834850831852
104,386.05824789531283,9991.378556541486,-374.9356770626241,-343.2386365401831,-518.5805255533933
105,329.2271441185454,9999.71765892144,-374.69926920831625,-340.762867976856,-518.3262002749345
106,296.7257641730792,10008.056761301394,-374.46286135400845,-338.28709941352884,-518.0718749964758
107,360.29361823379696,10016.395863681348,-374.2264534997006,-335.8113308502017,-517.8175497180172
108,434.9654953616116,10024.734966061302,-373.9900456453928,-333.3355622868746,-517.5632244395584
109,108.39739840062495,10033.074068441256,-373.75363779108494,-330.8597937235475,-517.3088991610997
110,0.0,10041.41317082121,-373.51722993677714,-328.38402516022035,-517.054573882641
111,0.0,10049.752273201164,-373.28082208246934,-325.90825659689324,-516.8002486041822
112,0.0,10058.091375581118,-373.0444142281615,-323.43248803356613,-516.5459233257235
113,0.0,10066.430477961072,-372.8080063738537,-320.956719470239,-516.2915980472649
114,0.0,10074.769580341026,-372.57159851954583,-318.48095090691186,-516.0372727688061
115,0.0,10083.10868272098,-372.33519066523803,-316.00518234358475,-515.7829474903474
116,0.0,10091.447785100934,-372.0987828109302,-313.52941378025764,-515.5286222118887
117,0.0,10099.786887480888,-371.8623749566224,-311.0536452169305,-515.2742969334299
118,0.0,10108.125989860842,-371.6259671023146,-308.57787665360337,-515.0199716549713
119,0.0,10116.465092240796,-371.3895592480067,-306.10210809027626,-514.7656463765126
120,0.0,10124.80419462075,-371.1531513936989,-303.62633952694915,-514.5113210980538
121,259.9721725640983,10133.143297000704,-370.91674353939106,-301.15057096362204,-514.2569958195951
122,3.1498044285084874,10141.482399380659,-370.68033568508326,-298.6748024002949,-514.0026705411364
123,0.0,10149.821501760613,-370.4439278307754,-296.19903383696777,-513.7483452626776
124,0.0,10158.160604140567,-370.2075199764676,-293.72326527364066,-513.494019984219
125,0.0,10166.49970652052,-369.9711121221598,-291.2474967103135,-513.2396947057603
126,0.0,10174.838808900475,-369.73470426785195,-288.7717281469864,-512.9853694273015
127,0.0,10183.177911280429,-369.49829641354415,-286.2959595836593,-512.7310441488428
128,0.0,10191.517013660383,-369.2618885592363,-283.8201910203321,-512.476718870384
129,0.0,10199.856116040337,-369.0254807049285,-281.344422457005,-512.2223935919254
130,0.0,10208.195218420291,-368.78907285062064,-278.8686538936779,-511.9680683134667
131,0.0,10216.534320800245,-368.55266499631284,-276.3928853303508,-511.71374303500795
132,0.0,10224.8734231802,-368.31625714200504,-273.9171167670237,-511.4594177565492
133,0.0,10233.212525560153,-368.0798492876972,-271.4413482036965,-511.20509247809053
134,0.0,10241.551627940107,-367.8434414333894,-268.9655796403694,-510.9507671996318
135,0.0,10249.890730320061,-367.60703357908153,-266.4898110770423,-510.69644192117306
136,0.0,10258.229832700015,-367.37062572477373,-264.01404251371514,-510.4421166427144
137,0.0,10266.56893507997,-367.1342178704659,-261.53827395038803,-510.18779136425565
138,0.0,10274.908037459923,-366.8978100161581,-259.0625053870609,-509.9334660857969
139,0.0,10283.247139839877,-366.6614021618503,-256.5867368237338,-509.67914080733823
